"","X","faceRectangle.top","faceRectangle.left","faceRectangle.width","faceRectangle.height","faceAttributes.glasses","faceAttributes.blur.blurLevel","faceAttributes.blur.value","faceAttributes.headPose.roll","faceAttributes.headPose.yaw","faceAttributes.emotion.contempt","faceAttributes.emotion.surprise","faceAttributes.emotion.happiness","faceAttributes.emotion.neutral","faceAttributes.emotion.sadness","faceAttributes.emotion.disgust","faceAttributes.emotion.anger","faceAttributes.emotion.fear","faceAttributes.occlusion.eyeOccluded","faceAttributes.occlusion.mouthOccluded","faceAttributes.occlusion.foreheadOccluded","faceAttributes.noise.noiseLevel","faceAttributes.noise.value","faceLandmarks.pupilLeft.x","faceLandmarks.pupilLeft.y","faceLandmarks.eyebrowLeftInner.x","faceLandmarks.eyebrowLeftInner.y","faceLandmarks.eyeLeftOuter.x","faceLandmarks.eyeLeftOuter.y","faceLandmarks.eyeLeftBottom.x","faceLandmarks.eyeLeftBottom.y","faceLandmarks.eyeRightOuter.x","faceLandmarks.eyeRightOuter.y","faceLandmarks.mouthRight.x","faceLandmarks.mouthRight.y","faceLandmarks.eyebrowRightOuter.x","faceLandmarks.eyebrowRightOuter.y","faceLandmarks.noseTip.x","faceLandmarks.noseTip.y","faceLandmarks.pupilRight.x","faceLandmarks.pupilRight.y","faceLandmarks.noseRootRight.x","faceLandmarks.noseRootRight.y","faceLandmarks.noseRightAlarTop.x","faceLandmarks.noseRightAlarTop.y","faceLandmarks.eyeRightTop.x","faceLandmarks.eyeRightTop.y","faceLandmarks.eyeRightBottom.x","faceLandmarks.eyeRightBottom.y","faceLandmarks.noseRootLeft.x","faceLandmarks.noseRootLeft.y","faceLandmarks.mouthLeft.x","faceLandmarks.mouthLeft.y","faceLandmarks.underLipTop.x","faceLandmarks.underLipTop.y","faceLandmarks.eyebrowRightInner.x","faceLandmarks.eyebrowRightInner.y","faceLandmarks.noseLeftAlarTop.x","faceLandmarks.noseLeftAlarTop.y","faceLandmarks.upperLipTop.x","faceLandmarks.upperLipTop.y","faceLandmarks.eyeLeftInner.x","faceLandmarks.eyeLeftInner.y","faceLandmarks.upperLipBottom.x","faceLandmarks.upperLipBottom.y","faceLandmarks.eyeRightInner.x","faceLandmarks.eyeRightInner.y","faceLandmarks.underLipBottom.x","faceLandmarks.underLipBottom.y","faceLandmarks.noseLeftAlarOutTip.x","faceLandmarks.noseLeftAlarOutTip.y","faceLandmarks.eyebrowLeftOuter.x","faceLandmarks.eyebrowLeftOuter.y","faceLandmarks.eyeLeftTop.x","faceLandmarks.eyeLeftTop.y","faceLandmarks.noseRightAlarOutTip.x","faceLandmarks.noseRightAlarOutTip.y","black","blond","brown","gray","other","red","impression","glasses","blurLevel","eyeOccluded","mouthOccluded","foreheadOccluded","noiseLevel"
"335",335,81,169,175,175,"NoGlasses","low",0,2.3,-9.5,0,0.002,0.752,0.228,0.004,0.001,0.012,0.001,FALSE,FALSE,FALSE,"low",0,218.3,124.6,239.7,113.2,209.1,125.6,221.1,133.7,310.9,129.4,295,208.3,330.8,111.2,252.1,182.1,294.1,128.2,269.3,134,271.6,167.3,297.1,121.2,298.8,137.8,246.2,133.5,223.7,207.4,254.6,220.3,270.3,115.5,239.5,163.8,254.4,205.5,234.8,130.4,254.6,211.5,284,133.1,254.4,232.9,231.2,179.9,191.1,104.4,223.3,118.2,277.6,182.5,0.95,0.07,0.7,0.03,0.95,0.36,1,0,1,0,0,0,1
"287",287,67,113,104,104,"NoGlasses","low",0,-0.9,5.6,0,0.001,0.106,0.69,0.201,0,0,0.001,FALSE,FALSE,FALSE,"low",0,140.9,95.4,155.7,90.6,133.2,97,141.4,98.9,198.7,95.8,187.4,140.8,210,86,168.2,129.8,189.6,94.6,174.4,98.8,178.9,118.7,190.4,92.7,190.9,99,159.6,99.5,141.4,139.9,168,146.8,182.6,89.1,156.5,118.4,167.4,143.2,149.4,97.5,168,146,182.3,97.9,169.4,152.4,151,126.8,119.7,90.2,141.6,93.2,183.3,127.1,0.07,1,0.23,0.1,0.62,0.07,1,0,1,0,0,0,1
"1116",1116,102,233,135,135,"NoGlasses","low",0,4.2,-12.1,0,0.055,0.072,0,0,0,0.817,0.055,FALSE,FALSE,FALSE,"low",0.09,272.5,136.9,283.2,122.3,261.8,136.4,271.3,141.2,344.3,144.3,325.7,204,356.1,130.6,294.1,170.9,333.7,141.7,309.2,141.9,309.9,161.6,334.4,138.3,333.5,145.9,292.2,141.8,275.1,201.2,297.6,206.4,316.2,124.8,285.3,159.4,297.3,191.1,281.9,139.1,297.4,196.4,322.9,142.3,297.2,213.5,282.4,171,253.3,122,272.5,133.4,314.9,174.7,0.35,0.27,0.99,0.29,0.82,0.03,0,0,1,0,0,0,1
"624",624,115,75,273,273,"NoGlasses","low",0,3,-3.9,0.001,0.006,0.116,0.821,0.047,0.001,0.005,0.003,FALSE,FALSE,FALSE,"low",0,156.5,188.3,181.6,173,127.4,188.9,147.8,199.8,298,197.2,271.7,311.3,332.5,163.1,204.2,270.6,281.9,193.6,226.3,201,228.4,249.5,277.4,187.4,277.7,206.1,195.2,199.8,145.2,305.9,206.7,328.9,241.8,176.8,182.7,247,206.8,311.2,173.3,195.2,205.6,323.1,254.9,199.5,204.7,345.9,172.9,270.9,98.7,155.2,151,179.5,241.3,276.7,0.86,0.05,1,0.03,0.52,0.05,1,0,1,0,0,0,1
"1248",1248,188,124,239,239,"NoGlasses","medium",0.27,-0.3,10.7,0.032,0.001,0,0.003,0.038,0.708,0.199,0.018,FALSE,FALSE,FALSE,"low",0,187.8,254.1,227.5,228.9,171.4,257.7,189.1,262.6,315.9,253.9,281.6,364.9,332.1,227.9,258.1,315.1,298.1,252.4,267.2,259.2,273.7,296.3,298.4,248.7,300.2,258.9,235.5,259.7,192.5,365.6,246.2,373.5,272.8,226.6,230.4,296.6,248.5,347.4,206,257.1,247.3,359.1,282.6,256.1,246.5,388.5,220.9,316.6,157.6,228.3,189,250,284.5,316.5,0.38,0.55,0.94,0.83,0.51,0.02,0,0,2,0,0,0,1
"807",807,96,287,126,126,"NoGlasses","low",0.18,9.7,-12.7,0.002,0.001,0.195,0.694,0.084,0.002,0.022,0,FALSE,FALSE,FALSE,"low",0.03,329.1,125.4,338.3,114.4,319.3,124,326.9,129.6,389.9,137.5,377.3,191.7,404.4,126.3,341.7,165.4,380.5,134.8,358.8,133.9,360.4,155.6,381.2,131.3,379.6,139,344.8,131,319.9,182.3,341.2,199,369.2,118.1,334.4,151.1,344,182.9,336.9,129,343.5,185.9,370.3,134.8,340.2,205.4,326,161,307.1,109.4,329.2,121.1,365.6,166.3,0.99,0.01,1,0.05,0.58,0.05,1,0,1,0,0,0,1
"1162",1162,123,317,211,211,"NoGlasses","low",0,3,-2.1,0.003,0.025,0.233,0.695,0.017,0.002,0.021,0.005,FALSE,FALSE,FALSE,"low",0,379.8,174.6,400.2,157.2,360.8,172.1,375.2,182.3,491.1,182.1,456.2,284.3,512.4,161,419.8,236.6,471.4,179.9,438.2,183.6,440.3,214.9,472,172.6,472.6,189.1,409.3,181.6,388.1,280.4,419.1,310.3,448.4,160,399.9,212.2,420.8,262.2,395.8,178.5,421.9,271.3,455.3,180.4,417.4,322.6,389.5,230.8,346.8,153,378.3,166.2,451.4,233,0.93,0.04,1,0.02,0.31,0.09,0,0,1,0,0,0,1
"1605",1605,81,52,122,122,"NoGlasses","low",0,4.2,-8.5,0.053,0.007,0.007,0.894,0.027,0.01,0.003,0,FALSE,FALSE,FALSE,"low",0,92.5,113.2,101.4,98.7,82.9,114.6,90.7,115.5,149.2,115.7,131.7,174.9,160.5,103.4,110.2,143.4,142.9,113.7,120.2,115,124.1,136.5,142.3,112.1,141.3,117.4,107.5,114.8,89.1,172.8,109.5,175.5,127.5,98.4,102.2,132.8,109,165.1,98,114.2,109.3,171.1,132.8,114.6,109.2,184,94.5,144.7,72.9,99,91.1,110.9,129,146.8,1,0.02,0.99,0.05,0.21,0.07,0,0,1,0,0,0,1
"615",615,178,102,265,265,"NoGlasses","low",0,-14.5,-28.6,0,0.008,0.532,0.446,0.002,0,0.011,0,FALSE,FALSE,FALSE,"low",0,171.4,262.1,174.8,229.3,148.1,268.5,166.5,274.8,292.5,229.3,307.2,358.1,312.1,183.9,211.9,330.5,274.5,232.2,227.9,256.2,246,299.1,268.1,222.5,274,244.4,195.1,265.8,208.8,383.9,247.1,395.7,216.6,211,193.3,312.7,239.1,362.8,184.4,263,242,374.1,250.8,243.5,251.3,413.6,190.2,335.8,116.7,242.4,163.1,253.6,265.4,317.1,0.93,0.02,1,0.02,0.82,0.06,1,0,1,0,0,0,1
"1257",1257,129,418,136,136,"NoGlasses","low",0,-7.8,3.4,0.001,0,0.642,0.346,0.006,0.001,0.004,0,FALSE,FALSE,FALSE,"low",0,450.3,170.7,466.2,150.1,440.2,175.5,453.6,178.5,525.4,165.9,515.2,230.6,537.6,150,489.2,193.3,510.1,164.5,493.6,169.2,499,187.2,511.3,159.7,514.2,172.3,476.8,171.4,467.8,235.8,492.2,232.2,497.1,147,474,191.3,492.7,220.8,465.5,172.3,493.2,226.3,500.2,169.6,493.7,239.1,470.3,205.3,424.7,164,450.4,165,506,201.1,0.46,0.07,1,0.1,0.32,0.28,0,0,1,0,0,0,1
"1510",1510,163,147,300,300,"NoGlasses","low",0,12.1,8.8,0.041,0.068,0.001,0.634,0.047,0.019,0.005,0.185,FALSE,FALSE,FALSE,"low",0.11,249.5,232.9,291.3,212.4,220.9,227.6,240,243.3,394.7,268.5,333.5,397.6,431.1,232.9,306.5,314,375.1,261.1,324,260.7,326.9,303.4,375.2,252.4,372.3,272.4,292.1,253.7,220.2,375,286.2,382.7,349.8,225.5,273.7,294.3,287.9,364,264.8,242.5,284.8,377.8,350.3,263.1,282.1,400.1,255.6,318.4,202.6,178.8,247.3,223.1,335.6,333.6,1,0.02,0.9,0.04,0.85,0.09,0,0,1,0,0,0,1
"343",343,127,160,76,76,"NoGlasses","low",0,1.2,32.4,0,0.016,0.025,0.87,0.015,0.002,0.06,0.011,FALSE,FALSE,FALSE,"low",0,182.7,145.5,195.5,136.2,177,146,183,147.8,218.3,148.1,209.9,182.7,224.1,137.9,207.1,168.9,212.8,147.3,206.3,147.2,210.9,161.5,213.3,145.2,213.5,149.7,196.9,147.1,177.3,181.1,198.9,189.6,210.7,138.7,194.4,161.2,200,178.1,189.3,146.6,199.7,181.9,208.3,147.8,198.9,195.3,190.1,167,169.1,138.6,182.9,143.7,213.1,167.8,0.31,0.99,0.79,0.14,0.52,0.02,1,0,1,0,0,0,1
"1052",1052,142,76,229,229,"NoGlasses","medium",0.55,4.5,-17.7,0.015,0.014,0.004,0.298,0.47,0.175,0.021,0.004,FALSE,FALSE,FALSE,"low",0.01,140.7,200.6,170.3,182.5,126.2,200.2,143.1,205.2,269.2,207.2,230.9,315.5,296.7,184.5,180.9,263,248,205.6,208.2,207.5,211.2,243.5,251.6,202.8,250.5,209.7,177.4,205.7,153,309.4,185.2,319.8,213.1,184.2,168.5,240.2,185.2,291.9,160.3,201.3,184.9,301.1,232.6,205.1,184.4,332.8,157.2,258.2,117,171.2,143.4,197.9,222.7,263.5,0.14,0.86,0.03,0.99,0.53,0.27,0,0,2,0,0,0,1
"203",203,147,92,151,151,"NoGlasses","low",0.07,-3.7,-25.4,0.001,0.004,0.154,0.764,0.051,0.005,0.019,0.001,FALSE,FALSE,FALSE,"low",0,136.1,186.9,143.8,170.8,121.9,188,132.8,194.3,205.9,181.2,200.8,256.2,225.2,159.1,157.1,231.1,196,182,171.1,190,175.9,217.9,192,176.2,194.5,189.3,150.2,191.9,145.9,261.4,166,263.1,168.9,166.1,148.4,218.9,164.2,254.8,145.2,190.1,165.6,262.4,181.1,186,166.9,275.2,143.3,234.1,105.7,167.2,133.2,181.4,183.3,232,0.98,0.14,1,0.01,0.32,0.05,1,0,1,0,0,0,1
"431",431,232,235,258,258,"NoGlasses","low",0,3.3,23.9,0.001,0.011,0.055,0.909,0.02,0,0.003,0.001,FALSE,FALSE,FALSE,"low",0,309,298.3,356.6,268.3,292.5,299.1,309.6,305,434.5,313.5,409.5,427.8,461.3,287.9,385.8,367.6,419.2,309.5,391.1,305.3,405,347.5,421.7,305.4,419.5,315.2,357.6,303.5,297.1,415.1,361.8,432.5,402.8,276.2,348,345.4,369.1,409.5,328.5,301.8,366.6,417.9,405.2,307.7,361.2,444.9,331.5,366.4,266.8,277.6,310.9,293.4,413.8,371.9,0.84,0.05,1,0.14,0.08,0.1,1,0,1,0,0,0,1
"622",622,104,203,180,180,"NoGlasses","low",0.02,-10.2,15.6,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0.21,244.5,162.1,271.1,137,234.2,165.7,249.1,167.4,340,146.9,337.7,226.8,353.9,126.4,307.2,203.1,323.9,148.9,305.6,159,316.2,187.2,326.1,143.1,329.2,153.5,281.9,162.6,254.9,239.6,304.5,243.4,310.3,132.6,283.1,195.1,304.5,228.6,264.9,163.1,305.4,236.2,316.4,154.7,306.4,253.8,274.7,209,207.4,152.9,247.9,156.4,327.6,198.5,0.95,0.11,1,0.02,0.75,0.02,1,0,1,0,0,0,1
"22",22,175,75,222,222,"NoGlasses","low",0.21,8.2,-20.2,0.001,0,0.075,0.924,0,0,0,0,FALSE,FALSE,FALSE,"medium",0.31,149.6,231.8,163.3,214.3,131,231.3,143.3,240.8,261.4,245.5,228.1,342.8,291.2,228.5,168.1,294.4,246.7,241.6,200.8,245.2,194.8,279.7,245.3,234.2,244,251.3,171.9,242.7,137,333.8,175.7,344.3,206.7,220.9,161.2,275.8,174.5,328.8,160.7,237.6,174.1,338.6,223.6,243.8,174.2,358.2,151.7,293.9,110.5,205,147.2,225.6,202.7,301.1,0.91,0.11,0.99,0.01,0.65,0.14,1,0,1,0,0,0,2
"1617",1617,82,180,160,160,"NoGlasses","low",0.13,-10,-4,0,0.001,0.007,0.972,0.018,0,0.002,0,FALSE,FALSE,FALSE,"low",0.06,225.3,129.1,241.1,111.2,213.9,131.5,224.4,133.5,296.1,114.9,295.3,193.6,309,96.2,260.3,168,285,116.7,265,125.3,273.4,152,283.3,113.9,285.6,120.4,244.8,129.9,234,208.7,267.1,212.2,259.6,107.4,246.3,156.3,266,193.7,235.2,130.1,267.7,199.9,274.2,121.4,269.8,223.9,240.6,170.6,194.3,121,224.1,125.6,281.9,163.5,1,0.02,0.92,0.29,0.2,0.11,0,0,1,0,0,0,1
"1398",1398,94,101,177,177,"NoGlasses","low",0.2,8.7,-4,0,0,0.603,0.313,0.083,0,0.001,0,FALSE,FALSE,FALSE,"low",0,158,138.1,181.9,124.2,145.8,138.9,156.4,143.6,249.2,151,217.8,229.3,270.6,130.9,185.5,185.6,237.4,149.1,206.3,148.1,206,177.3,238.5,144.2,236.9,154.8,183.2,145.4,149.2,220.5,181.5,228.7,216.1,128.9,174.2,172,180.5,219,168.4,142.1,180.5,226.8,224.7,149.8,181.5,239.5,163.1,186.2,129.9,120,157.1,134.1,213.6,195.2,0.38,0.28,0.13,1,0.32,0.21,0,0,1,0,0,0,1
"547",547,105,80,97,97,"NoGlasses","low",0.2,5.7,-0.2,0,0,0.994,0.002,0.001,0,0.002,0,FALSE,FALSE,FALSE,"low",0,109.4,131.2,122.1,125.8,102.6,131.7,109.4,134.1,158.4,137.7,150.3,178.1,169.6,130.1,128.9,158.3,151.8,135.8,137.4,136.7,140.6,151.5,151.5,134,151.5,138.7,124.4,136.1,102.4,172.6,125.5,184,141.8,127.9,119.9,150,127.6,172.1,116.8,133.8,126.8,175.4,144.2,136.7,125.5,189.2,113.7,156.1,93.3,123.1,110.5,129.3,144.5,160.4,0.08,1,0.2,0.2,0.58,0.04,1,0,1,0,0,0,1
"774",774,60,304,130,130,"NoGlasses","low",0,4.8,-4.7,0.003,0.001,0.03,0.928,0.02,0.001,0.019,0,FALSE,FALSE,TRUE,"low",0.07,343.9,94.6,354.7,78.9,334,93.7,342,95.6,407.7,100.4,397.6,156.5,424.7,90.5,367.3,130.7,399.3,99.8,377.3,98.7,381.8,117.5,398.6,96.8,398.3,100.7,361.4,97.6,335.8,152.8,364.4,164.4,382,83.9,355.9,117.1,365.1,145.6,350.6,94.6,365,150.9,389.6,98.9,363,173,346.2,126.9,319.2,79.5,341.7,91.5,389,129.1,0,0,0,0,0,0,1,0,1,0,0,1,1
"962",962,138,476,212,212,"NoGlasses","low",0.14,-9.1,5.1,0.097,0.001,0.076,0.691,0.118,0.014,0.004,0,FALSE,FALSE,FALSE,"medium",0.34,527.8,203.3,557.2,186,514.3,206.6,530.8,207.8,631.1,193.6,632.6,289.4,639.3,171.4,585.3,242.6,619.8,192.7,588.2,198.7,599,228.6,616.5,190,616.9,197.6,565.4,202,546.6,301.8,591.9,294.5,588,180.7,568.2,232.4,590.9,282.7,546.7,203.2,591.4,290.1,603.4,196.2,592.4,306.3,558.2,253.6,494.3,188.7,530.1,200.2,610,248.5,0,0,0,0,0,0,0,0,1,0,0,0,2
"792",792,81,314,134,134,"NoGlasses","low",0,-1.6,-3.4,0.001,0.005,0.043,0.897,0.01,0.001,0.042,0,FALSE,FALSE,FALSE,"medium",0.64,351.3,116.6,369.5,100.5,341.2,118.2,351.4,121.6,419.1,116.4,406,181.8,432,103.1,379.4,152.8,409.1,116,387.3,119.8,391,143.7,409.5,111.8,409.8,119.4,371.6,119.9,359.6,182.3,380.9,185,387.6,100.4,368.1,144.7,381,173.6,360.8,118.7,381.1,180,398.9,117.7,381.2,195.5,362.9,156.9,324.3,107,350.7,112.8,398.2,156.1,1,0.01,0.06,0.11,0.96,0.17,1,0,1,0,0,0,2
"299",299,103,265,140,140,"NoGlasses","low",0.06,-3.1,-8.9,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0,303,144.3,316.7,132.6,292,147.5,303.3,150.5,375.8,142.7,368.5,204.2,393.4,133.9,331.4,175.5,364.8,140.8,341.2,144.6,346.7,164.3,363.8,137.3,364.7,146.2,322.8,145.6,311.5,210.4,336.6,215.8,345.9,130.5,319.4,167.5,335.9,198.4,313.4,145.6,336.1,202.7,353.5,143.3,336.5,222.4,316.4,180.4,279.7,137.5,302.2,140.4,354.4,175.6,0.31,0.11,0.51,0.11,0.54,0.99,1,0,1,0,0,0,1
